,entry,category,confidence
8501,Insurance renewal,saving,99.99%
8502,Vegetables,food,100.00%
8503,Fare,transportation,100.00%
8504,Body massage ksh3500,personal,99.99%
8505,Lunch 600,food,99.99%
8506,rulers,personal,98.95%
8507,groceries shopping - 1500,food,100.00%
8508,breads,food,99.99%
8509,Strainers ,housing,99.99%
8510,Medical bill 70,medical,100.00%
8511,Gym membership,personal,99.99%
8512,new phone,personal,99.99%
8513,Electricity ,utilities,99.54%
8514,Apartment maintenance charges,housing,100.00%
8515,Exhauster services,transportation,100.00%
8516,birthday gift for hubby,recreation,99.99%
8517,shoppingofgrocery,food,99.99%
8518,Coat hangers,personal,89.42%
8519,Travelling 100$,transportation,99.99%
8520,Toilet paper $4.5,nonsense,99.99%
8521,dinner with my friend,food,99.99%
8522,Paint for the new apartment ,housing,100.00%
8523,Car fuel,transportation,100.00%
8524,Barbecue sauce,food,99.93%
8525,Vacuum 150,housing,100.00%
8526,Salon,miscellaneous,99.99%
8527,Spices ,food,99.99%
8528,Face wash,personal,99.99%
8529,pet belt,miscellaneous,93.84%
8530,Groceries,food,100.00%
8531,Door Repair,housing,100.00%
8532,House decor 50,housing,99.99%
8533,Gas refills for the stove,utilities,99.99%
8534,pet care,miscellaneous,100.00%
8535,Food delivery ,food,99.99%
8536,Tuition fee expenses ,miscellaneous,100.00%
8537,vacation $800,recreation,99.99%
8538,children food containers 40000,nonsense,99.99%
8539,Lamb meat,food,100.00%
8540,Money sent to mum #5000,miscellaneous,72.81%
8541,Gasoline ,transportation,100.00%
8542,Demartologist,medical,100.00%
8543,Gas bill 30,transportation,99.99%
8544,Street wise KFC meal 450,food,100.00%
8545,Gym Membership,personal,56.64%
8546,Cable,utilities,99.99%
8547,Snacks for the kids,food,100.00%
8548,Shoe brush,personal,71.54%
8549,Bought mousepad,personal,99.99%
8550,Amazon annual subscription,utilities,99.99%
8551,Venue reservation,recreation,99.98%
8552,Paid fare on public transport to work,transportation,100.00%
8553,Debt Payment ,saving,100.00%
8554,Coffee,food,99.99%
8555,Medical bill 505,medical,100.00%
8556,Bought a new sofa set,housing,99.99%
8557,Internet payment,utilities,99.99%
8558,Medicine,medical,99.99%
8559,New skinny jeans,personal,91.67%
8560,apartment rental payment 50$,housing,99.99%
8561,Youtube premium subscription,utilities,99.99%
8562,PUMA unisex shoes 34,miscellaneous,80.66%
8563,Baught tea packets,food,99.99%
8564,Salaries ,miscellaneous,99.99%
8565,Baseball bat,nonsense,99.99%
8566,coffee outside weekly 165 tl,food,99.99%
8567,fuelcostfee,transportation,100.00%
8568,Make up 700,personal,98.48%
8569,bucket,miscellaneous,99.99%
8570,Chanel perfume ,personal,95.96%
8571,Travel,recreation,100.00%
8572, bottle of wine for 20,food,99.99%
8573,Car fuel,transportation,100.00%
8574,Apartment rent,housing,99.99%
8575,Car hire for wedding,transportation,100.00%
8576,Beer,food,100.00%
8577,house rent,housing,99.99%
8578,health insurance,medical,99.99%
8579,water,utilities,99.99%
8580,Plants for pots,miscellaneous,100.00%
8581,Tithe 100,saving,66.60%
8582,Biogas repairs 45000,housing,99.99%
8583,Monthly Water Bill 500,utilities,99.99%
8584,Poetry book,miscellaneous,76.39%
8585,Cable plan,utilities,100.00%
8586,Drain cleaning 5,housing,100.00%
8587,Home Theater,recreation,100.00%
8588,dog grooming session - 21.35,miscellaneous,99.99%
8589,Buy skin whitening cream,personal,100.00%
8590,End of term snacks haul from carrefour 10,food,99.99%
8591,Rent,housing,100.00%
8592,Sugar ,food,99.99%
8593,Grocery store,food,99.99%
8594,lunch,food,100.00%
8595,Refilling the gas,utilities,71.35%
8596,Beddings,miscellaneous,100.00%
8597,Car Fuel 431,transportation,100.00%
8598,Shopping,nonsense,100.00%
8599,Electronic repairs in the house,housing,99.99%
8600,Gaming Mouse - Rs 1500,recreation,99.99%
8601,Weekly laundry ,miscellaneous,99.67%
8602,fuel spending,transportation,100.00%
8603,data cable for 5,utilities,99.99%
8604,Tiles,housing,99.99%
8605,Television ,nonsense,100.00%
8606,School bus payment,transportation,100.00%
8607,Highlighter,personal,99.99%
8608,Diced green chilies,food,100.00%
8609,Green lentils,food,100.00%
8610,transport,transportation,100.00%
8611,Medical Prescription for the month,medical,100.00%
8612,Pay medical insurance bill,medical,100.00%
8613,Hair spray 10,personal,99.99%
8614,Other expenses 3500,nonsense,100.00%
8615,uniform,personal,92.11%
8616,grocery,food,99.99%
8617,Rent,housing,99.99%
8618,blackhead remover kit 15,personal,100.00%
8619,Food(eating out and snacks)=$50,food,100.00%
8620,Phone bill 45,utilities,99.98%
8621,Printer ,miscellaneous,99.99%
8622,Guitar strings,recreation,99.99%
8623,Cat toy,miscellaneous,99.99%
8624,phone bill,utilities,99.99%
8625,food expense,food,99.99%
8626,medical supplies,medical,99.99%
8627,Computer cleaning kit,personal,99.99%
8628,utilities,utilities,99.99%
8629,Charity donation,miscellaneous,97.50%
8630,Transport cost,transportation,100.00%
8631,Brut Body spray - Rs 2119,personal,99.34%
8632,rimmel lipstick 6.99,personal,99.99%
8633,Drinking water,nonsense,62.56%
8634,meat,food,99.99%
8635,keyboard,miscellaneous,98.16%
8636,Electricity bill,utilities,99.99%
8637,Milk,food,100.00%
8638,Snacks & Beverages ,food,99.99%
8639,Bought shoes,personal,99.49%
8640,Microwve repair 2500,housing,98.94%
8641,gadgets,nonsense,99.99%
8642,Flight to Japan,recreation,100.00%
8643,netflix subscription,utilities,99.99%
8644,Gift for mom 800,recreation,99.99%
8645,transportation,transportation,100.00%
8646,pay utility bills,utilities,100.00%
8647,Electricity bill ksh1200,utilities,99.99%
8648,Grocery store,food,99.99%
8649,repair &gas refill $40,utilities,99.99%
8650,Calculator ,miscellaneous,97.12%
8651,White spoon Sugar k21,food,100.00%
8652,Buy mops and brooms,housing,99.99%
8653,Handbag,personal,99.99%
8654,phone bill,utilities,99.99%
8655,Light bulb,miscellaneous,84.39%
8656,cable bill,utilities,99.99%
8657,Car insurance,transportation,100.00%
8658,bus fare to work,transportation,100.00%
8659,Tailor to xpense 2 suits 2400,personal,99.56%
8660,Hairdryer ,personal,99.99%
8661,Pantry jars 2500,miscellaneous,99.96%
8662,earphones,utilities,99.99%
8663,Alcohol,food,99.99%
8664,netflix subscription,recreation,99.99%
8665,Body wash,personal,99.99%
8666,pencil,miscellaneous,87.45%
8667,Hot Dogs,food,99.99%
8668,Cornflour ,food,100.00%
8669,Heat,utilities,99.99%
8670,Garlic,food,99.99%
8671,Car payment,transportation,100.00%
8672,House rent ksh5500,housing,100.00%
8673,electric gas and water,utilities,99.99%
8674,Airtime 1000,utilities,99.99%
8675,bags,personal,99.99%
8676,Tithing 250,nonsense,99.99%
8677,SPORT BET 5€,saving,99.99%
8678,Electricity bill,utilities,99.99%
8679,hospital bill,medical,99.99%
8680,bag for husband,personal,99.99%
8681,Paid construction workers for mother's house,housing,100.00%
8682,changed car tires,transportation,100.00%
8683,baby cot,miscellaneous,98.73%
8684,My wife's car fuel 567,transportation,100.00%
8685,Insurance,medical,100.00%
8686,wi-fi subscription payment,utilities,99.99%
8687,Some perfume,personal,99.99%
8688,PUBLIC TRANSPORT 20€,transportation,100.00%
8689,Credit card payment,saving,86.46%
8690,white shoes,personal,93.06%
8691,Vacation ksh7000,recreation,100.00%
8692,Electric Bills - Rs 120,utilities,99.99%
8693,car wash,transportation,100.00%
8694,Buying Bread,food,100.00%
8695,Phone bills - Rs 6500,utilities,99.99%
8696,Water,nonsense,99.99%
8697,Instant coffee 12 packs,food,100.00%
8698,solar panel,housing,99.99%
8699,Comb,personal,99.99%
8700,Baught food,food,99.99%
8701,Emergency Fund,saving,100.00%
8702,Laundry ,nonsense,99.64%
8703,shoe laces for 5,personal,99.99%
8704,hand cream,personal,99.99%
8705,Park fees,transportation,100.00%
8706,Toothpaste,personal,84.31%
8707,Strawberry,food,100.00%
8708,Table for apartment,nonsense,67.99%
8709,Onions,food,99.99%
8710,School fees,miscellaneous,99.99%
8711,deodorant for 10,personal,99.99%
8712,Infinix phone case,utilities,97.06%
8713,Cabbage,food,100.00%
8714,Salt,food,100.00%
8715,Wig for wifey,personal,99.99%
8716,Sacco saving,saving,99.99%
8717,Candy,food,100.00%
8718,amazon gift card,saving,99.99%
8719,Clothing account payment ,personal,99.99%
8720,decoder service payment,utilities,99.99%
8721,Black blazer for work attire,personal,100.00%
8722,Diapers,personal,100.00%
8723,Shoe polish,personal,62.76%
8724,Fenty Beauty perfume 200,personal,98.42%
8725,Petrol expense,transportation,100.00%
8726,Car fuel,transportation,100.00%
8727,Dormans instant coffee 50g,food,99.99%
8728,Sugar ,food,99.99%
8729,Water bill,utilities,100.00%
8730,Water bill,utilities,99.99%
8731,Notebook ,personal,67.86%
8732,bluetooth headset for 40,utilities,99.99%
8733,Beauty Products,personal,99.99%
8734,House Rent,housing,100.00%
8735,Travel expenses ,transportation,100.00%
8736,Food and groceries expenses,food,99.99%
8737,Bike fuel,transportation,100.00%
8738,Toys for kids,recreation,99.99%
8739,Oil for the car,transportation,100.00%
8740,Lunch 3,food,99.99%
8741,House insurance,housing,99.99%
8742,stand for an ipad - 9,utilities,87.10%
8743,bus fare from work - 100,transportation,100.00%
8744,Bought eggs,food,100.00%
8745,royco,food,100.00%
8746,House rent,housing,100.00%
8747,food purchas expense,food,100.00%
8748,correction tape,housing,99.99%
8749,Tuition fee ,miscellaneous,83.64%
8750,Buy fruits ,food,100.00%
8751,Bed,housing,99.99%
8752,Beer,food,100.00%
8753,Food,food,100.00%
8754,Water,food,98.98%
8755,Dog food,food,99.99%
8756,Bought 3 light bulbs,housing,99.99%
8757,install airconditioning system,utilities,99.99%
8758,Electricity bills,utilities,99.99%
8759,Paint to paint living room,housing,99.99%
8760,Advertising for rentals 25,housing,99.99%
8761,document processing,miscellaneous,92.55%
8762,House rent ksh11500,housing,100.00%
8763,Children food 566,food,99.99%
8764,Mobile service bill,utilities,99.99%
8765,mortgage ,housing,100.00%
8766,phone bill,utilities,99.99%
8767,Food ,food,99.99%
8768,petrol in bike,transportation,99.99%
8769,Bike engine repair 10,transportation,100.00%
8770,jar of peanut butter for 20,food,99.99%
8771,Utility expenses ,utilities,99.99%
8772,planting fee,housing,99.99%
8773,Wedding Dress ,personal,100.00%
8774,flights fee,transportation,100.00%
8775,Buy new Computer chair from eBay,miscellaneous,99.99%
8776,carpet washing 420 tl,housing,99.99%
8777,Buy chocolates for sister,food,100.00%
8778,Car servicing ,transportation,100.00%
8779,Printer,miscellaneous,63.14%
8780,Lunch money for Isaac,food,100.00%
8781,Burger,food,100.00%
8782,Flowers for mother,recreation,98.93%
8783,Tuition fees,saving,99.99%
8784,Cookies ,food,100.00%
8785,Transport fare to work 2,transportation,100.00%
8786,Buy Cat food,food,99.99%
8787,home wear,personal,99.69%
8788,Flip-flop $3,personal,98.80%
8789,gardener fee,miscellaneous,99.99%
8790,Shirts,personal,99.99%
8791,bottle of hazelnut for 70,food,100.00%
8792,big bottle of sanitizer - 7,miscellaneous,78.07%
8793,Milk for custard ,food,99.99%
8794,swimsuits for vacation,recreation,97.76%
8795,New pants,personal,99.99%
8796,garbage collection,housing,71.66%
8797,Charitable donation,miscellaneous,99.99%
8798,Michael Kors watch 300,personal,95.90%
8799,pasta salad to go - 3.50,food,99.99%
8800,Shopping ,food,99.99%
8801,New shoes for me,personal,99.99%
8802,bluetooth speaker,utilities,92.03%
8803,$20 Weekly allowance for school,saving,99.99%
8804,Pay third semester exam fee,saving,95.32%
8805,Diapers,medical,99.99%
8806,Engine repair 5000,transportation,100.00%
8807,Electricity bill,utilities,99.99%
8808,Waist trainer belt,medical,100.00%
8809,fresh suits,personal,99.99%
8810,silver chain for 50,personal,99.99%
8811,soda,food,100.00%
8812,Conditioner,personal,99.99%
8813,Apple MacBook pro 700,utilities,99.99%
8814,Firm tofu,food,99.99%
8815,Car maintenance 5$,transportation,100.00%
8816,Low-fat cheese,food,100.00%
8817,White bedcovers 2,personal,99.99%
8818,Victor body cream 6000,personal,99.83%
8819,clothes,personal,95.52%
8820,Car fuel,transportation,100.00%
8821,Tuna,food,99.99%
8822,Perfume,personal,100.00%
8823,Bike repair payment ,transportation,100.00%
8824,pack of cards for 4,nonsense,99.99%
8825,Flowers dor the wedding proposal 1500,miscellaneous,99.99%
8826,toy for a boy - 5,recreation,100.00%
8827,Buying shoes,personal,99.99%
8828,Flight tickets ,transportation,99.99%
8829,jeans for husband,recreation,52.20%
8830,Cellphone bill,utilities,100.00%
8831,education $2000,saving,90.70%
8832,water bill,utilities,99.99%
8833,pasteries & cookies,food,100.00%
8834,Rent,housing,99.99%
8835,Dinner date,food,99.99%
8836,Birthday present for my sister,recreation,93.54%
8837,Baught Phone cover case,miscellaneous,96.93%
8838,juice,food,100.00%
8839,Toiletries for household shopping,food,100.00%
8840,Car rent,transportation,100.00%
8841,Electrical Bills,utilities,92.50%
8842,shoes for kids,personal,99.99%
8843,Rented a basketball court,recreation,99.99%
8844,Morning Starbucks Black Coffee 120,food,99.99%
8845,Water expenses ,utilities,100.00%
8846,Groceries,food,100.00%
8847,House warming party,recreation,100.00%
8848,Table for apartment,housing,99.99%
8849,Shower Heads 2500,miscellaneous,59.65%
8850,Olives,food,100.00%
8851,Parking fee,transportation,100.00%
8852,New Dareu mechanical keyboard ,miscellaneous,100.00%
8853,Gasoline for car,transportation,100.00%
8854,vitamins and supplements,medical,100.00%
8855,Shop rent for month,saving,100.00%
8856,Travel 20,transportation,100.00%
8857,Chrome liquor 750ml bottle,food,99.99%
8858,Bought fruits,food,100.00%
8859,Purchase new phone,utilities,68.45%
8860,irish potatoes,food,100.00%
8861,grocery store,food,99.99%
8862,utility bills,utilities,99.99%
8863,Food,food,99.81%
8864,Buy new queen size mattress ,miscellaneous,99.51%
8865,Vegetables,food,100.00%
8866,Hair pomade for me,personal,99.91%
8867,Tooth extraction dental procedure,medical,100.00%
8868,Car Insurance,transportation,100.00%
8869,Pool maintenance,housing,99.99%
8870,Netflix subscription ,utilities,99.99%
8871,Clothing,personal,99.70%
8872,On demand TV subscription ,utilities,99.99%
8873,gym membership,recreation,93.11%
8874,tuition fees,saving,99.99%
8875,kids school dress,miscellaneous,85.60%
8876,eye care,medical,100.00%
8877,Tureen,nonsense,100.00%
8878,sorghurm,food,97.80%
8879,rent,housing,99.99%
8880,pen,personal,97.13%
8881,helper payment,miscellaneous,99.99%
8882,step ladder ,miscellaneous,76.86%
8883,Game Character (Lords mobile) - 1500,recreation,99.99%
8884,Phone airtime ksh2000,utilities,99.99%
8885,Flea collar for cat,miscellaneous,99.99%
8886,kitchen gadgets,food,99.99%
8887,Cooking gas,food,99.99%
8888,new tv purcahse,miscellaneous,100.00%
8889,ciggerete packet,miscellaneous,99.99%
8890,Pizza delivery fees,food,99.99%
8891,Hotel bill 300,recreation,99.99%
8892,New Phone,miscellaneous,99.99%
8893,Groceries ,food,99.29%
8894,Trash service,housing,99.99%
8895,Groceries ,food,100.00%
8896,Buy nail polish remover,personal,97.42%
8897,Hotel fee,recreation,100.00%
8898,Dentist fees,medical,100.00%
8899,Electricity bill ,utilities,97.26%
8900,Grandma's hospital bill,medical,100.00%
8901,Bell pepper,food,99.99%
8902,handkerchief,miscellaneous,99.99%
8903,insurance,miscellaneous,99.99%
8904,Cake for grandma's birthday,recreation,99.99%
8905,Airtel top-up,utilities,100.00%
8906,dstv subscription payment,utilities,100.00%
8907,Groceries ,food,99.99%
8908,Car wash,transportation,100.00%
8909,Netflix payment ,utilities,99.72%
8910,Savings ,saving,100.00%
8911,Hair salon ksh2000,personal,99.99%
8912,Buy an oil free face wash,personal,99.23%
8913,Laundry,miscellaneous,100.00%
8914,Petron Fuel Refill 545,transportation,100.00%
8915,Ola cab =₹150,transportation,100.00%
8916,Refrigerator 200,miscellaneous,87.86%
8917,shoe polish,personal,99.99%
8918,Pet Care ,medical,99.99%
8919,school shoes,personal,52.40%
8920,Guitar strings,miscellaneous,99.99%
8921,Bread,food,100.00%
8922,Fresh flowers,personal,97.37%
8923,Taxi charges,transportation,100.00%
8924,Make up ksh4000,personal,96.66%
8925,New bed for my cat,miscellaneous,99.99%
8926,House maintenance 30,housing,100.00%
8927,Shampoo,personal,99.98%
8928,Private Tuition ,miscellaneous,99.80%
8929,Shaving cream 5,personal,99.99%
8930,Laundry ,miscellaneous,99.99%
8931,Eye Check-up,medical,100.00%
8932,home repairs,housing,100.00%
8933,accessory,nonsense,99.99%
8934,Bread 1€,food,99.99%
8935,Cars,transportation,100.00%
8936,Bed,housing,99.99%
8937,Necktie,miscellaneous,82.24%
8938,Taxi payment,transportation,100.00%
8939,Library subscription ,utilities,100.00%
8940,Sunscreen,personal,98.59%
8941,Buy petfood ,food,99.99%
8942,House repairs,housing,99.99%
8943,Pay electricity bill,utilities,99.99%
8944,Clothes,personal,99.99%
8945,Car maintenance expenses ,transportation,100.00%
8946,Phone bill,utilities,100.00%
8947,Internet bill ksh2500,utilities,100.00%
8948,electric bill carried over from last month - 7,utilities,100.00%
8949,Event hall payment,recreation,99.99%
8950,Grocery shopping ksh1500 ,food,100.00%
8951,Avocados 4,food,100.00%
8952,Makeup 80,personal,84.77%
8953,Car accessories,transportation,100.00%
8954,Cleaning ,housing,100.00%
8955,deodorant,personal,99.92%
8956,order clothes,personal,62.48%
8957,digiturk membership 180 tl,utilities,99.99%
8958,train fare,transportation,100.00%
8959,Buy anti-dandruff shampoo,personal,99.99%
8960,phone case,miscellaneous,96.11%
8961,bought body spray,personal,100.00%
8962,Deodorant ,personal,99.99%
8963,2 New school shoes 7000,personal,96.02%
8964,diapers for baby,miscellaneous,94.41%
8965,Buy notebooks for home tuition,miscellaneous,90.65%
8966,Buy nail polish,personal,99.99%
8967,harpic toilet cleaner,nonsense,99.98%
8968,Restaurants,food,86.52%
8969,Food,food,100.00%
8970,Medicines taken from store,medical,100.00%
8971,Mortgage payment ,housing,99.99%
8972,Home cleaning service ,housing,99.99%
8973,Cricket,nonsense,99.99%
8974,Paid the youtube monthly subscription,utilities,99.99%
8975,Money market fund savings,saving,100.00%
8976,Jeans,personal,99.99%
8977,TV Radio set and Phone,utilities,99.99%
8978,Mineral Water Bottle,food,100.00%
8979,Uber Travelling Charge,transportation,100.00%
8980,Transport fare to study center 1,transportation,100.00%
8981,Diapers,personal,100.00%
8982,cabbage,food,99.99%
8983,Dishwashing Liquid ,food,99.99%
8984,Tips for services,miscellaneous,99.99%
8985,Gold earrings 100,personal,99.99%
8986,My car service 20,transportation,100.00%
8987,Uniform,personal,98.98%
8988,Baught body wash,personal,99.99%
8989,mats for car,transportation,100.00%
8990,spotify membership 25 tl,recreation,98.43%
8991,flash disk,miscellaneous,76.51%
8992,prime video subscripton,utilities,99.99%
8993,Hair Care ,personal,99.99%
8994,Allowance for son,saving,99.99%
8995,Wifi 30,utilities,100.00%
8996,Bottled water,food,99.99%
8997,Wedding cake payment,food,100.00%
8998,Charity 5,miscellaneous,87.02%
8999,tablet,miscellaneous,99.99%
9000,Kilian perfume 300,personal,99.61%
9001,Amazon Prime,utilities,99.99%
9002,Life insurance 200,saving,100.00%
9003,Memberships ,personal,100.00%
9004,rice,food,100.00%
9005,carpet,miscellaneous,93.22%
9006,Shoes,personal,99.99%
9007,High school tuition fee,saving,99.99%
9008,lottery tickets,nonsense,99.99%
9009,Power generator fuel 90,housing,99.99%
9010,Grocery shopping ksh1500 ,food,100.00%
9011,Buying medicine ,medical,100.00%
9012,laptop screen repair,miscellaneous,99.99%
9013,House rent ksh9000,housing,100.00%
9014,soda,food,99.99%
9015,Bananas,food,99.99%
9016,Food delivery thai resto,food,100.00%
9017,Just juice k25,food,99.99%
9018,Tomato sauce,food,99.99%
9019,peanut butter,food,99.99%
9020,Nike shoes #50,personal,99.99%
9021,Netflix fee,utilities,99.99%
9022,New sneakers payment for the boys,personal,99.44%
9023,Seminars,personal,100.00%
9024,Credit card expenses ,saving,100.00%
9025,Pepper 4$,food,100.00%
9026,Gift for my girlfriend,recreation,99.93%
9027,vegetables,food,99.99%
9028,Transportation 50,transportation,100.00%
9029,Supermarket 10000,food,99.99%
9030,Luncheon with friends,food,99.99%
9031,television,utilities,100.00%
9032,hangout cost,recreation,100.00%
9033,Transportation,transportation,100.00%
9034,Student loan,saving,99.99%
9035,Spinach,food,100.00%
9036,Credit card payment for the month,saving,100.00%
9037,Iflix subscription,utilities,99.99%
9038,Snacks and drinks for the week,food,100.00%
9039,Ambulance charges,medical,100.00%
9040,purchased fruits,food,100.00%
9041,Potato chips,food,97.89%
9042,Car oil for the car,transportation,100.00%
9043,McDonald's delivery ,food,99.99%
9044,New iPhone charger,miscellaneous,87.05%
9045,House rent,housing,99.99%
9046,Buy one litre bottle coca cola,food,99.99%
9047,Child care,medical,99.99%
9048,desktop,miscellaneous,83.72%
9049,Buy Disney land tickets,recreation,99.99%
9050,Paid school fees,personal,99.99%
9051,Dishwashing soap,food,99.99%
9052,charity donation in memory of the late queen - 7,miscellaneous,99.83%
9053,Notebook,miscellaneous,98.67%
9054,necklace from amazon,personal,99.99%
9055,cup of coffee,food,99.99%
9056,Phone recharge,utilities,100.00%
9057,energy drink for 12,food,99.99%
9058,Vegetables,food,100.00%
9059,Clothes - 10000,personal,99.99%
9060,hairappointment,personal,99.99%
9061,In-laws,nonsense,99.99%
9062,Perfume ,personal,99.68%
9063,Shoes #5000,personal,98.50%
9064,Nail salon ksh1500,personal,99.99%
9065,House rent,housing,100.00%
9066,Pens,miscellaneous,99.99%
9067,Dog Treats 45,miscellaneous,99.99%
9068,Car Insurance,transportation,100.00%
9069,phone bills,utilities,99.99%
9070,Entertainment 100,recreation,100.00%
9071,Property taxes,housing,99.99%
9072,Chocolate syrup ,food,100.00%
9073,house rent,housing,100.00%
9074,Oily fish,food,85.04%
9075,case for an apple pencil - 3,utilities,96.77%
9076,bought beers,food,99.99%
9077,Bought braids,personal,99.65%
9078,Security fees,miscellaneous,100.00%
9079,beer,food,94.41%
9080,bought toy for kid,recreation,99.99%
9081,Electric bill 457,utilities,99.99%
9082,Diapers 400,personal,99.99%
9083,Water Bill 3$,utilities,99.99%
9084,Kitchen appliances 15000,housing,50.27%
9085,cat toys,nonsense,52.33%
9086,Bought socks,personal,99.99%
9087,birthday gift for mum,recreation,99.99%
9088,shower,housing,99.99%
9089,Sauce,food,100.00%
9090,Photographer payment,recreation,100.00%
9091,tea shopping,food,99.99%
9092,new shoes,personal,99.99%
9093,doctor visits,medical,100.00%
9094,family check up,medical,100.00%
9095,Liquor cost,food,99.99%
9096,Cable subscription expenses ,utilities,99.80%
9097,Bacon,food,100.00%
9098,Shower gel,personal,99.99%
9099,Casual shoes,personal,99.99%
9100,Health care 350,medical,100.00%
9101,Kenpoly plastic chairs 2,housing,52.03%
9102,hair brush,personal,99.99%
9103,fruit juice,food,99.99%
9104,House rent,housing,99.99%
9105,Supplements 2000,medical,100.00%
9106,Utilities expenses ,utilities,99.99%
9107,Internet subscription,utilities,100.00%
9108,Bought microphone,utilities,100.00%
9109,Son's lunch at school,food,99.99%
9110,Buying tissue paper,food,100.00%
9111,Buy inverter,utilities,73.95%
9112,Painkillers,medical,100.00%
9113,Pay for car wash,transportation,99.99%
9114,Beef,food,99.99%
9115,Beauty products,personal,98.75%
9116,Rent,housing,99.99%
9117,Country club insurance,recreation,100.00%
9118,printer cartridge - 7,miscellaneous,84.69%
9119,tooth brush,personal,98.23%
9120,Electricity ,utilities,99.99%
9121,rent a drill for a day 9.55,housing,52.72%
9122,Tuition fees ksh2000,miscellaneous,97.02%
9123,Tuna,food,100.00%
9124,Onion,food,100.00%
9125,Bus fare for cousin 400,saving,100.00%
9126,flowers to bring to green park - 3.99,nonsense,86.81%
9127,Calculator,miscellaneous,99.24%
9128,Medical Care ,medical,100.00%
9129,olive oil,food,100.00%
9130,Bed sheets,personal,99.99%
9131,public transportation fare,transportation,100.00%
9132,Bikini,personal,99.99%
9133,Massage,medical,100.00%
9134,Take out for the week,recreation,82.42%
9135,New pair of trousers,personal,99.47%
9136,balloons for child's birthday,recreation,99.99%
9137,new school uniform for son,saving,99.99%
9138,mortgage,housing,100.00%
9139,Wine 40,food,99.99%
9140,Netflix subscription ,utilities,99.99%
9141,Car rent,transportation,100.00%
9142,salt,food,99.99%
9143,Honey,food,99.99%
9144,Household items 750,housing,100.00%
9145,new curtains,housing,99.99%
9146,Debt repayment 20,saving,99.99%
9147,disinfectant,medical,99.99%
9148,Installation of solar system,utilities,100.00%
9149,backpack,miscellaneous,71.45%
9150,Replaced my pillow,personal,60.92%
9151,Curtains,miscellaneous,99.99%
9152,Medical expenses ,medical,100.00%
9153,baking soda for 5,food,99.99%
9154,Bag ordered from daraz (with delivery) 1849,nonsense,99.99%
9155,baby shower gift for friend,miscellaneous,59.78%
9156,Netflix,utilities,99.99%
9157,sugar,food,100.00%
9158,internet for house 175 tl,utilities,99.99%
9159,Credit card payment 800,saving,99.99%
9160,Mobile Data purchase R99,utilities,100.00%
9161,3 mangoes,food,100.00%
9162,nail polish,personal,100.00%
9163,Weekly laundry payment ,miscellaneous,93.44%
9164,Spent on online Purchases,miscellaneous,96.10%
9165,Houshelp salary,housing,99.99%
9166,Candies,food,99.99%
9167,Eggs,food,99.99%
9168,Air humidifier,housing,99.99%
9169,LPG gas,miscellaneous,95.98%
9170,bottle of mustard for 5,food,99.99%
9171,led lights - 5,miscellaneous,99.99%
9172,Rent for job offices 2500,housing,99.99%
9173,cat vaccination,miscellaneous,99.11%
9174,Medicine for Isaac,nonsense,88.23%
9175,Guitar pedals,recreation,100.00%
9176,Milk,food,100.00%
9177,Water bill 1500,utilities,100.00%
9178,weekend getaways,recreation,91.25%
9179,Buy some petrol,transportation,100.00%
9180,Rent ,housing,99.99%
9181,Soda,food,99.99%
9182,Toothbrush ,personal,99.36%
9183,Utilities,utilities,100.00%
9184,Buy medicine for grandma,medical,99.99%
9185,Pet Food and Care,food,100.00%
9186,Electricity,utilities,100.00%
9187,Water,utilities,99.99%
9188,Gold bracelet 1000,personal,99.99%
9189,Paprika,food,99.99%
9190,sunglasses for myself,personal,99.99%
9191,4 piece suit from nishat linen 2250,personal,96.78%
9192,jar of chilli powder for 5,food,100.00%
9193,Electricity utility bill,utilities,100.00%
9194,New watch 3000,recreation,100.00%
9195,Light bulbs,utilities,99.99%
9196,Chicken feeds,food,100.00%
9197,Feeds,miscellaneous,99.85%
9198,indomie nodules,nonsense,100.00%
9199,Clothing ,personal,99.99%
9200,Car wash monthly subscription ,transportation,100.00%
9201,New phone 3000,utilities,99.99%
9202,phone payment,utilities,99.99%
9203,rent arrears,housing,100.00%
9204,Food stuff - 5000,food,99.99%
9205,Party Tumblrs 200,recreation,100.00%
9206,fuel bill,transportation,100.00%
9207,Gasoline,transportation,100.00%
9208,School Cost ,saving,100.00%
9209,Pork ribs,food,100.00%
9210,Toiletries ,miscellaneous,100.00%
9211,Cable subscription,utilities,99.99%
9212,purchase new laptop,miscellaneous,99.99%
9213,Car repair,transportation,100.00%
9214,blue tie for 8,personal,99.99%
9215,Female hat,personal,99.99%
9216,laptop,nonsense,75.97%
9217,Baught shoes,personal,100.00%
9218,House rent,housing,100.00%
9219,pants,personal,99.99%
9220,Medical checkup,medical,100.00%
9221,Flip flops,personal,99.83%
9222,school fees,miscellaneous,99.12%
9223,Transport Fare - 2400,transportation,100.00%
9224,Baby sitting,miscellaneous,81.07%
9225,Imitation ring - Rs 1050,personal,99.99%
9226,Wheat flour,food,100.00%
9227,Rent,housing,100.00%
9228,Gas cylinder ,utilities,100.00%
9229,rent for apartment,housing,100.00%
9230,sandal,personal,99.99%
9231,Water bill ksh2000 ,utilities,98.20%
9232,Water,utilities,100.00%
9233,Rent,housing,99.99%
9234,Paid water bill,utilities,99.99%
